common_name,comment_percent,exclamation_percent,count,url
Eastern Phoebe,3.753897054145146,1.8644067796610135,15717,https://www.allaboutbirds.org/guide/assets/og/75345501-1200px.jpg
Common Goldeneye,6.408423241908275,0.7099391480730207,15386,https://www.allaboutbirds.org/guide/assets/og/75335191-1200px.jpg
Brown Creeper,4.630672408082145,3.576537911301854,15095,https://www.allaboutbirds.org/guide/assets/og/75226391-1200px.jpg
Chipping Sparrow,6.230613621038427,1.2987012987013007,14830,https://www.allaboutbirds.org/guide/assets/og/75334221-1200px.jpg
Tennessee Warbler,3.925271464220724,1.3745704467353987,14827,https://www.allaboutbirds.org/guide/assets/og/75227081-1200px.jpg
Eastern Towhee,5.87240376158586,1.7281105990783439,14781,https://www.allaboutbirds.org/guide/assets/og/75346731-1200px.jpg
Purple Martin,5.564229950319414,2.5510204081632666,14090,https://www.allaboutbirds.org/guide/assets/og/75714211-1200px.jpg
Rose-breasted Grosbeak,7.120540579815502,2.142857142857148,13763,https://www.allaboutbirds.org/guide/assets/og/618988754-1200px.jpg
Least Flycatcher,3.3488642981945342,2.173913043478255,13736,https://www.allaboutbirds.org/guide/assets/og/75210341-1200px.jpg
Turkey Vulture,5.084622118470904,1.8651362984218145,13708,https://www.allaboutbirds.org/guide/assets/og/75226031-1200px.jpg
Northern Waterthrush,4.823901264298621,1.5600624024960978,13288,https://www.allaboutbirds.org/guide/assets/og/75712311-1200px.jpg
Savannah Sparrow,3.7195447949285296,1.8480492813141687,13093,https://www.allaboutbirds.org/guide/assets/og/75366071-1200px.jpg
Field Sparrow,4.217151848937833,1.492537313432836,12710,https://www.allaboutbirds.org/guide/assets/og/75352231-1200px.jpg
Great Crested Flycatcher,4.279939763810751,1.4814814814814814,12617,https://www.allaboutbirds.org/guide/assets/og/75222321-1200px.jpg
Brown Thrasher,3.3327914160299246,3.6585365853658507,12302,https://www.allaboutbirds.org/guide/assets/og/75295071-1200px.jpg
American Coot,4.767109466958103,1.2345679012345634,11894,https://www.allaboutbirds.org/guide/assets/og/75219941-1200px.jpg
Red-breasted Nuthatch,7.1550838753852055,3.4688995215310934,11684,https://www.allaboutbirds.org/guide/assets/og/75714611-1200px.jpg
Black-throated Green Warbler,3.644021241530838,2.2613065326633146,10922,https://www.allaboutbirds.org/guide/assets/og/75295831-1200px.jpg
Bank Swallow,4.169721407624633,0.8791208791208788,10912,https://www.allaboutbirds.org/guide/assets/og/75259081-1200px.jpg
Chestnut-sided Warbler,2.437902483900634,3.018867924528302,10870,https://www.allaboutbirds.org/guide/assets/og/75334331-1200px.jpg
Blackpoll Warbler,4.018648018647982,2.320185614849186,10725,https://www.allaboutbirds.org/guide/assets/og/75264151-1200px.jpg
Wilson's Warbler,2.925457102672306,1.6025641025641042,10665,https://www.allaboutbirds.org/guide/assets/og/75221021-1200px.jpg
Blue-winged Teal,7.665273556230987,0.37174721189591237,10528,https://www.allaboutbirds.org/guide/assets/og/75296791-1200px.jpg
Red-headed Woodpecker,9.418445271196589,2.5987525987526,10214,https://www.allaboutbirds.org/guide/assets/og/75368891-1200px.jpg
Common Merganser,7.59556842000197,0.26281208935610945,10019,https://www.allaboutbirds.org/guide/assets/og/75335361-1200px.jpg
Fox Sparrow,6.1449159327462155,4.88599348534202,9992,https://www.allaboutbirds.org/guide/assets/og/75360421-1200px.jpg
Lincoln's Sparrow,3.544813695871111,2.5568181818181808,9930,https://www.allaboutbirds.org/guide/assets/og/75222731-1200px.jpg
Bay-breasted Warbler,6.2164080722035155,0.9787928221859693,9861,https://www.allaboutbirds.org/guide/assets/og/75238661-1200px.jpg
Ovenbird,4.525162337662288,5.605381165919289,9856,https://www.allaboutbirds.org/guide/assets/og/75712531-1200px.jpg
Bufflehead,8.47018150388941,0.25510204081632804,9256,https://www.allaboutbirds.org/guide/assets/og/75296041-1200px.jpg
Bald Eagle,20.728194492452996,2.2234574763757706,8679,https://www.allaboutbirds.org/guide/assets/og/615439846-1200px.jpg
Yellow-bellied Sapsucker,6.363321399699738,3.6297640653357486,8659,https://www.allaboutbirds.org/guide/assets/og/75218901-1200px.jpg
Hooded Merganser,14.04018116362785,0.41356492969396214,8611,https://www.allaboutbirds.org/guide/assets/og/75375181-1200px.jpg
